sub_region,census_fips_code,place_id,date,user_id,place,percent_change_from_baseline
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-15,001,retail and recreation,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-15,001,grocery and pharmacy,3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-15,001,parks,26
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-15,001,transit stations,96
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-15,001,workplaces,-2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-16,002,retail and recreation,17
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-16,002,grocery and pharmacy,5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-16,002,parks,42
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-16,002,transit stations,18
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-16,002,workplaces,-7
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-17,003,retail and recreation,-2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-17,003,grocery and pharmacy,3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-17,003,parks,32
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-17,003,transit stations,3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-17,003,workplaces,-48
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-17,003,residential,5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-18,004,retail and recreation,-3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-18,004,grocery and pharmacy,-4
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-18,004,parks,21
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-18,004,transit stations,10
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-18,004,workplaces,3
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-18,004,residential,1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-19,005,retail and recreation,2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-19,005,grocery and pharmacy,1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-19,005,parks,10
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-19,005,transit stations,27
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-19,005,workplaces,2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-19,005,residential,0
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-20,006,retail and recreation,8
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-20,006,grocery and pharmacy,5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-20,006,parks,11
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-20,006,transit stations,2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-20,006,workplaces,2
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-20,006,residential,1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-21,007,retail and recreation,15
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-21,007,grocery and pharmacy,1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-21,007,parks,16
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-21,007,transit stations,36
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-21,007,workplaces,0
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-21,007,residential,-1
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-22,008,retail and recreation,-20
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-22,008,grocery and pharmacy,-6
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-22,008,parks,-42
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-22,008,transit stations,-4
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-22,008,workplaces,-10
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-23,009,retail and recreation,-9
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-23,009,grocery and pharmacy,-5
Apache County,04001,ChIJ-WDLw6lhJYcRcrSQ4ttk6sE,2020-02-23,009,parks,-17
